,Season,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP.1,PTS.1,TRB.1,AST.1,WS,WS/48,BPM,VORP,PIE,NET_RATING,DEF_RATING,OFF_RATING
1888.0,1999,7,WAS,Richard Hamilton,UConn,14.0,921.0,29559.0,15708.0,2852.0,3125.0,0.449,0.346,0.852,32.1,17.1,3.1,3.4,62.8,0.102,-0.2,13.2,0.10284256243213899,2.2856677524429965,102.30434310532031,104.62160694896853
1889.0,1999,8,CLE,Andre Miller,Utah,17.0,1304.0,40268.0,16278.0,4795.0,8524.0,0.461,0.217,0.807,30.9,12.5,3.7,6.5,100.8,0.12,1.3,33.4,0.12250230061349693,1.0529907975460122,104.21579754601227,105.25835889570551
1890.0,1999,9,PHO,Shawn Marion,UNLV,16.0,1163.0,40097.0,17700.0,10101.0,2198.0,0.484,0.331,0.81,34.5,15.2,8.7,1.9,124.9,0.15,2.7,47.6,0.12848065348237317,2.4738607050730868,103.14952708512469,105.62983662940671
1891.0,1999,10,ATL,Jason Terry,Arizona,19.0,1410.0,42034.0,18881.0,3274.0,5415.0,0.444,0.38,0.845,29.8,13.4,2.3,3.8,102.0,0.116,1.5,37.4,0.1015723404255319,1.6464539007092203,103.59950354609929,105.23936170212765
1892.0,1999,11,CLE,Trajan Langdon,Duke,3.0,119.0,1738.0,647.0,159.0,152.0,0.416,0.396,0.91,14.6,5.4,1.3,1.3,2.9,0.079,-1.1,0.4,0.0822857142857143,1.2571428571428571,97.4781512605042,98.82689075630252
1893.0,1999,12,TOR,Aleksandar Radojević,Barton County Community College,2.0,15.0,152.0,26.0,36.0,7.0,0.308,,0.625,10.1,1.7,2.4,0.5,-0.4,-0.13,-11.6,-0.4,-0.0332,-7.879999999999999,97.1,89.20000000000002
1894.0,1999,13,SEA,Corey Maggette,Duke,14.0,827.0,23358.0,13198.0,4022.0,1696.0,0.453,0.324,0.822,28.2,16.0,4.9,2.1,62.2,0.128,0.3,13.3,0.11403869407496978,-3.0440145102781138,105.23385731559854,102.17400241837967
1895.0,1999,14,MIN,William Avery,Duke,3.0,142.0,1205.0,379.0,93.0,199.0,0.33,0.255,0.714,8.5,2.7,0.7,1.4,-0.9,-0.034,-5.6,-1.1,0.045718309859154926,-7.053521126760564,101.19718309859155,94.12394366197182
,1999,15,NYK,Frédéric Weis,,,,,,,,,,,,,,,,,,,,,,
1897.0,1999,16,CHI,Metta World Peace,St. John's,17.0,991.0,31440.0,13058.0,4448.0,2631.0,0.414,0.339,0.715,31.7,13.2,4.5,2.7,61.1,0.093,1.2,25.4,0.08996165489404642,2.315136226034309,101.15842583249243,103.48869828456105
